17 - 0.9019323671497584 - (((9, 10), (1,)), (9, 4, 2, 1)) - 0.7378042340278625
34 - 0.9032142857142857 - (((10, 10), (1,)), (8, 3, 1, 1)) - 0.47425925731658936
45 - 0.9040650406504065 - (((5, 12), (1,)), (14, 5, 2, 1)) - 0.7462169528007507
47 - 0.9042207792207793 - (((11, 10), (1,)), (8, 3, 1, 1)) - 0.6210846304893494
67 - 0.9052447552447552 - (((4, 13), (1,)), (16, 6, 2, 1)) - 0.7197619080543518
70 - 0.9053333333333333 - (((12, 10), (2,)), (7, 3, 1, 1)) - 0.481243371963501
74 - 0.9056666666666666 - (((12, 10), (1,)), (7, 3, 1, 1)) - 0.729867696762085
79 - 0.9061538461538462 - (((13, 10), (2,)), (7, 3, 1, 1)) - 0.508571445941925
82 - 0.906301824212272 - (((6, 12), (1,)), (11, 5, 2, 1)) - 0.567116379737854
85 - 0.9064615384615384 - (((13, 10), (1,)), (7, 3, 1, 1)) - 0.3985978960990906
100 - 0.9077922077922078 - (((14, 10), (2,)), (6, 3, 1, 1)) - 0.5623015761375427
104 - 0.9081168831168831 - (((14, 10), (1,)), (6, 3, 1, 1)) - 0.3866402208805084
111 - 0.9086913086913087 - (((5, 13), (1,)), (13, 5, 2, 1)) - 0.6676983833312988
129 - 0.9102222222222223 - (((15, 10), (2,)), (6, 2, 1, 1)) - 0.7182275056838989
135 - 0.9106666666666666 - (((15, 10), (1,)), (6, 2, 1, 1)) - 0.5682803988456726
137 - 0.9107142857142857 - (((10, 11), (2,)), (8, 3, 1, 1)) - 0.540238082408905
140 - 0.9110389610389611 - (((10, 11), (1,)), (8, 3, 1, 1)) - 0.368492066860199
163 - 0.9121951219512195 - (((4, 15), (1,)), (14, 5, 2, 1)) - 0.7366137504577637
164 - 0.9123015873015873 - (((5, 14), (1,)), (12, 5, 2, 1)) - 0.7300793528556824
166 - 0.912396694214876 - (((11, 11), (1,)), (7, 3, 1, 1)) - 0.4516666531562805
167 - 0.9125905797101449 - (((8, 12), (1,)), (9, 4, 2, 1)) - 0.379576712846756
177 - 0.9135674931129476 - (((12, 11), (2,)), (6, 3, 1, 1)) - 0.734074056148529
180 - 0.9139118457300276 - (((12, 11), (1,)), (6, 3, 1, 1)) - 0.3706613779067993
185 - 0.9144768275203058 - (((7, 13), (1,)), (9, 4, 2, 1)) - 0.6479893922805786
